Ford Transit,0.0 დიზელი,170000 კმ,მექანიკა,მარცხენა
MAN TGX 18.440,0.0 დიზელი,999999 კმ,ავტომატიკა,მარცხენა
Mercedes-Benz Atego,6.4 დიზელი,1 კმ,მექანიკა,მარცხენა
Belarus T 25,2.0 დიზელი,5 კმ,მექანიკა,მარცხენა
Belarus T 80,0.0 დიზელი,0 კმ,მექანიკა,მარცხენა
Mercedes-Benz Actros,4.8 დიზელი,570234 კმ,მექანიკა,მარცხენა
Caterpillar M 315,3.0 დიზელი,7700 კმ,მექანიკა,მარცხენა
Caterpillar ,4.4 დიზელი,589683 კმ,ტიპტრონიკი,მარცხენა
Krone  SD MEGA,0.0 დიზელი,0 კმ,ავტომატიკა,მარცხენა
Bobcat S175,0.1 დიზელი,6000 კმ,ავტომატიკა,მარცხენა
ABG  169  Puma 171,3.7 დიზელი,7000 კმ,ავტომატიკა,მარცხენა
Mitsubishi Fuso Canter ამწე- კალათა (ვიშკა),4.0 დიზელი,49000 კმ,მექანიკა,მარცხენა
Mercedes-Benz Axor,6.0 დიზელი,430 კმ,ავტომატიკა,მარჯვენა
MAN TGL 8.250,7.4 დიზელი,390000 კმ,მექანიკა,მარცხენა
DAF LF-Series,5.8 დიზელი,350000 კმ,მექანიკა,მარცხენა
Renault Premium,4.6 დიზელი,780000 კმ,ავტომატიკა,მარცხენა
Volvo FH 12 FH13,4.4 დიზელი,820000 კმ,ავტომატიკა,მარცხენა
Krone  SD,1.9 წყალბადი,400 კმ,ვარიატორი,მარცხენა
Mercedes-Benz Atego oboba,4.3 დიზელი,0 კმ,მექანიკა,მარცხენა
Hyster H40-70UT,0.0 ელექტრო,0 კმ,,მარცხენა
Hyster H30-35FT H40FTS H3.0UT,3.0 დიზელი,0 კმ,ავტომატიკა,მარცხენა
"Hyster H135-155FT, H155FTS J1.6XNT",0.0 ელექტრო,0 კმ,ავტომატიკა,მარცხენა
Hyster H40-60XT PC1.5,0.0 ელექტრო,0 კმ,,მარცხენა
Hyster H80-120FT P2.0UTS,0.0 ელექტრო,0 კმ,ავტომატიკა,მარცხენა
